Latitude (decimal degrees):	6.943
Longitude (decimal degrees):	-75.922
Elevation (m):	2179
Radiation database:	PVGIS-ERA5


Slope: 37 deg. (optimum)
Azimuth: - deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20220117:1230,254.87,92.89,3.06,15.15,15.5,0.69,0.0
20220117:1330,451.28,183.95,7.73,28.56,16.97,1.24,0.0
20220117:1430,639.04,174.56,11.71,41.23,18.81,1.24,0.0
20220117:1530,729.28,194.15,15.3,52.41,20.45,1.24,0.0
20220117:1630,705.07,219.96,16.83,60.32,21.43,1.1,0.0
20220117:1730,715.69,163.6,16.24,62.01,22.13,0.83,0.0
20220117:1830,468.46,199.69,11.94,56.53,21.75,0.62,0.0
20220117:1930,537.46,140.61,10.58,46.51,21.28,0.83,0.0
20220117:2030,231.08,177.02,6.24,34.37,20.94,1.03,0.0
20220117:2130,229.7,123.76,4.1,21.23,19.16,0.62,0.0
20220117:2230,0.0,22.14,0.54,7.6,19.03,0.48,0.0
20220117:2330,0.0,0.0,0.0,-6.3,18.42,0.62,0.0
20220118:0030,0.0,0.0,0.0,0.0,17.9,0.48,0.0
20220118:0130,0.0,0.0,0.0,0.0,17.43,0.55,0.0
20220118:0230,0.0,0.0,0.0,0.0,16.87,0.69,0.0
20220118:0330,0.0,0.0,0.0,0.0,16.85,0.48,0.0
20220118:0430,0.0,0.0,0.0,0.0,16.47,0.62,0.0
20220118:0530,0.0,0.0,0.0,0.0,16.2,0.62,0.0
20220118:0630,0.0,0.0,0.0,0.0,15.83,0.55,0.0
20220118:0730,0.0,0.0,0.0,0.0,15.81,0.62,0.0
20220118:0830,0.0,0.0,0.0,0.0,15.57,0.62,0.0
20220118:0930,0.0,0.0,0.0,0.0,15.64,0.69,0.0
20220118:1030,0.0,0.0,0.0,0.0,15.36,0.76,0.0
20220118:1130,0.0,6.5,0.16,1.33,15.3,0.76,0.0
20220118:1230,245.2,90.91,2.98,15.13,15.14,0.83,0.0
20220118:1330,434.2,104.93,6.33,28.56,17.13,1.24,0.0
20220118:1430,684.3,189.23,12.53,41.27,18.77,1.31,0.0
20220118:1530,687.34,189.62,14.59,52.5,20.53,1.24,0.0
20220118:1630,542.1,165.15,12.99,60.47,21.63,1.1,0.0
20220118:1730,559.05,168.35,13.59,62.22,21.99,1.03,0.0
20220118:1830,471.04,169.92,11.42,56.73,22.19,0.97,0.0
20220118:1930,277.25,220.57,8.58,46.69,21.6,0.76,0.0
20220118:2030,245.89,145.85,5.8,34.52,21.41,0.83,0.0
20220118:2130,343.37,118.49,4.79,21.36,20.6,0.9,0.0
20220118:2230,0.0,20.8,0.51,7.71,19.71,0.83,0.0
20220118:2330,0.0,0.0,0.0,-6.21,19.11,0.69,0.0
20220119:0030,0.0,0.0,0.0,0.0,18.39,0.62,0.0
20220119:0130,0.0,0.0,0.0,0.0,17.79,0.62,0.0
20220119:0230,0.0,0.0,0.0,0.0,17.33,0.76,0.0
20220119:0330,0.0,0.0,0.0,0.0,17.0,0.76,0.0
20220119:0430,0.0,0.0,0.0,0.0,16.68,0.76,0.0
20220119:0530,0.0,0.0,0.0,0.0,16.26,0.76,0.0
20220119:0630,0.0,0.0,0.0,0.0,15.83,0.76,0.0
20220119:0730,0.0,0.0,0.0,0.0,15.31,0.76,0.0
20220119:0830,0.0,0.0,0.0,0.0,14.93,0.76,0.0
20220119:0930,0.0,0.0,0.0,0.0,14.48,0.76,0.0
20220119:1030,0.0,0.0,0.0,0.0,14.07,0.76,0.0
20220119:1130,0.0,12.16,0.3,1.29,13.75,0.83,0.0
20220119:1230,215.23,114.67,3.2,15.1,13.85,0.76,0.0
20220119:1330,443.82,212.2,8.12,28.56,16.06,0.76,0.0
20220119:1430,697.31,177.25,12.51,41.31,18.59,0.76,0.0
20220119:1530,789.55,190.15,16.2,52.59,21.03,0.69,0.0
20220119:1630,660.28,248.61,16.66,60.64,22.92,0.62,0.0
20220119:1730,694.72,210.3,16.84,62.43,23.69,0.28,0.0
20220119:1830,636.95,216.87,15.05,56.95,24.04,0.28,0.0
20220119:1930,680.08,174.9,13.25,46.87,23.86,0.62,0.0
20220119:2030,584.43,152.31,9.58,34.68,23.26,1.03,0.0
20220119:2130,403.86,109.88,5.12,21.49,22.62,1.24,0.0
20220119:2230,0.0,28.05,0.69,7.82,21.51,0.9,0.0
20220119:2330,0.0,0.0,0.0,-6.11,20.13,0.69,0.0
20220120:0030,0.0,0.0,0.0,0.0,18.99,0.62,0.0
20220120:0130,0.0,0.0,0.0,0.0,18.39,0.62,0.0
20220120:0230,0.0,0.0,0.0,0.0,18.35,0.48,0.0
20220120:0330,0.0,0.0,0.0,0.0,18.18,0.62,0.0
20220120:0430,0.0,0.0,0.0,0.0,18.12,0.55,0.0
20220120:0530,0.0,0.0,0.0,0.0,17.81,0.62,0.0
20220120:0630,0.0,0.0,0.0,0.0,17.51,0.48,0.0
20220120:0730,0.0,0.0,0.0,0.0,17.11,0.41,0.0
20220120:0830,0.0,0.0,0.0,0.0,16.95,0.48,0.0
20220120:0930,0.0,0.0,0.0,0.0,16.52,0.55,0.0
20220120:1030,0.0,0.0,0.0,0.0,16.2,0.55,0.0
20220120:1130,0.0,10.23,0.25,1.24,15.85,0.62,0.0
20220120:1230,395.88,119.96,4.1,15.08,15.48,0.62,0.0
20220120:1330,649.63,154.72,9.13,28.56,17.8,0.55,0.0
20220120:1430,803.45,178.85,13.9,41.35,20.32,0.41,0.0
20220120:1530,913.7,150.08,17.46,52.69,22.07,0.28,0.0
20220120:1630,878.29,164.88,18.91,60.8,23.55,0.41,0.0
20220120:1730,723.96,206.56,17.33,62.65,24.71,0.41,0.0
20220120:1830,747.3,181.72,16.24,57.16,25.23,0.41,0.0
20220120:1930,513.9,167.55,10.81,47.06,24.22,0.62,0.0
20220120:2030,446.17,111.43,7.38,34.83,23.01,1.24,0.0
20220120:2130,456.86,106.32,5.49,21.62,21.94,1.1,0.0
20220120:2230,0.0,22.1,0.54,7.93,20.91,0.97,0.0
20220120:2330,0.0,0.0,0.0,-6.02,19.74,0.28,0.0
20220121:0030,0.0,0.0,0.0,0.0,18.93,0.28,0.0
20220121:0130,0.0,0.0,0.0,0.0,18.42,0.07,0.0
20220121:0230,0.0,0.0,0.0,0.0,18.16,0.28,0.0
20220121:0330,0.0,0.0,0.0,0.0,17.87,0.34,0.0
20220121:0430,0.0,0.0,0.0,0.0,17.51,0.34,0.0
20220121:0530,0.0,0.0,0.0,0.0,17.37,0.28,0.0
20220121:0630,0.0,0.0,0.0,0.0,16.7,0.48,0.0
20220121:0730,0.0,0.0,0.0,0.0,16.43,0.34,0.0
20220121:0830,0.0,0.0,0.0,0.0,16.25,0.34,0.0
20220121:0930,0.0,0.0,0.0,0.0,15.9,0.41,0.0
20220121:1030,0.0,0.0,0.0,0.0,15.63,0.48,0.0
20220121:1130,0.0,9.31,0.23,1.2,15.36,0.62,0.0
20220121:1230,334.35,113.36,3.71,15.07,15.29,0.62,0.0
20220121:1330,565.2,155.04,8.34,28.58,17.3,0.55,0.0
20220121:1430,764.05,163.67,13.16,41.4,19.64,0.62,0.0
20220121:1530,768.39,188.71,15.88,52.79,21.5,0.69,0.0
20220121:1630,605.29,183.59,14.52,60.98,22.7,0.55,0.0
20220121:1730,723.08,217.14,17.56,62.88,23.02,0.34,0.0
20220121:1830,530.59,214.47,13.34,57.38,23.23,0.69,0.0
20220121:1930,306.43,150.64,7.62,47.24,21.4,0.69,0.0
20220121:2030,291.22,149.17,6.38,34.98,20.76,0.9,0.0
20220121:2130,148.62,124.07,3.64,21.75,20.35,0.69,0.0
20220121:2230,0.0,35.14,0.86,8.03,19.9,0.97,0.0
20220121:2330,0.0,0.0,0.0,-5.93,19.01,0.62,0.0
20220122:0030,0.0,0.0,0.0,0.0,18.18,0.28,0.0
20220122:0130,0.0,0.0,0.0,0.0,17.75,0.41,0.0
20220122:0230,0.0,0.0,0.0,0.0,17.4,0.34,0.0
20220122:0330,0.0,0.0,0.0,0.0,16.95,0.55,0.0
20220122:0430,0.0,0.0,0.0,0.0,16.56,0.55,0.0
20220122:0530,0.0,0.0,0.0,0.0,16.37,0.55,0.0
20220122:0630,0.0,0.0,0.0,0.0,16.1,0.55,0.0
20220122:0730,0.0,0.0,0.0,0.0,16.16,0.62,0.0
20220122:0830,0.0,0.0,0.0,0.0,15.8,0.62,0.0
20220122:0930,0.0,0.0,0.0,0.0,15.7,0.62,0.0
20220122:1030,0.0,0.0,0.0,0.0,15.18,0.76,0.0
20220122:1130,0.0,8.47,0.21,1.17,15.05,0.83,0.0
20220122:1230,257.26,90.8,3.03,15.05,15.12,0.76,0.0
20220122:1330,400.26,167.0,7.02,28.59,17.48,0.97,0.0
20220122:1430,619.08,184.64,11.66,41.45,19.44,0.62,0.0
20220122:1530,666.74,201.0,14.55,52.9,21.04,0.48,0.0
20220122:1630,595.32,210.06,14.88,61.16,22.04,0.55,0.0
20220122:1730,443.14,310.87,14.54,63.12,22.59,0.62,0.0
20220122:1830,333.23,260.33,11.11,57.6,22.69,0.76,0.0
20220122:1930,162.81,249.25,7.74,47.43,21.66,1.03,0.0
20220122:2030,53.85,173.5,4.47,35.14,20.73,1.03,0.0
20220122:2130,16.6,94.79,2.26,21.88,19.59,0.97,0.0
20220122:2230,0.0,28.77,0.7,8.14,19.43,0.69,0.0
20220122:2330,0.0,0.0,0.0,-5.85,18.53,0.55,0.0
20220123:0030,0.0,0.0,0.0,0.0,17.87,0.41,0.0
20220123:0130,0.0,0.0,0.0,0.0,17.75,0.55,0.0
20220123:0230,0.0,0.0,0.0,0.0,17.53,0.62,0.0
20220123:0330,0.0,0.0,0.0,0.0,17.46,0.62,0.0
20220123:0430,0.0,0.0,0.0,0.0,17.22,0.55,0.0
20220123:0530,0.0,0.0,0.0,0.0,17.15,0.48,0.0
20220123:0630,0.0,0.0,0.0,0.0,16.86,0.55,0.0
20220123:0730,0.0,0.0,0.0,0.0,16.24,0.48,0.0
20220123:0830,0.0,0.0,0.0,0.0,16.01,0.48,0.0
20220123:0930,0.0,0.0,0.0,0.0,15.84,0.41,0.0
20220123:1030,0.0,0.0,0.0,0.0,15.7,0.48,0.0
20220123:1130,0.0,10.48,0.26,1.14,15.64,0.41,0.0
20220123:1230,309.27,96.07,3.36,15.04,15.54,0.41,0.0
20220123:1330,447.0,151.99,7.2,28.61,17.35,0.48,0.0
20220123:1430,671.14,174.67,12.17,41.51,19.53,0.55,0.0
20220123:1530,797.53,173.68,16.11,53.01,21.3,0.55,0.0
20220123:1630,748.98,168.8,16.81,61.35,22.78,0.48,0.0
20220123:1730,507.06,231.82,14.09,63.35,23.58,0.48,0.0
20220123:1830,746.19,153.82,15.83,57.82,23.65,0.55,0.0
20220123:1930,615.11,146.03,11.94,47.61,24.7,0.48,0.0
20220123:2030,445.69,139.65,7.92,35.29,24.11,0.83,0.0
20220123:2130,425.71,107.82,5.33,22.01,23.03,0.9,0.0
20220123:2230,0.0,28.98,0.71,8.25,21.89,1.03,0.0
20220123:2330,0.0,0.0,0.0,-5.76,20.69,0.69,0.0
20220124:0030,0.0,0.0,0.0,0.0,19.44,0.55,0.0
20220124:0130,0.0,0.0,0.0,0.0,18.6,0.62,0.0
20220124:0230,0.0,0.0,0.0,0.0,18.32,0.48,0.0
20220124:0330,0.0,0.0,0.0,0.0,18.25,0.48,0.0
20220124:0430,0.0,0.0,0.0,0.0,18.03,0.48,0.0
20220124:0530,0.0,0.0,0.0,0.0,17.65,0.41,0.0
20220124:0630,0.0,0.0,0.0,0.0,17.52,0.48,0.0
20220124:0730,0.0,0.0,0.0,0.0,17.37,0.41,0.0
20220124:0830,0.0,0.0,0.0,0.0,17.14,0.48,0.0
20220124:0930,0.0,0.0,0.0,0.0,17.09,0.55,0.0
20220124:1030,0.0,0.0,0.0,0.0,16.86,0.55,0.0
20220124:1130,0.0,8.26,0.2,1.11,16.57,0.55,0.0
20220124:1230,244.5,91.23,2.97,15.04,16.46,0.41,0.0
20220124:1330,514.23,146.5,7.74,28.63,17.59,0.41,0.0
20220124:1430,554.53,158.99,10.43,41.57,19.49,0.14,0.0
20220124:1530,518.53,224.97,12.77,53.12,20.76,0.14,0.0
20220124:1630,230.79,261.12,9.77,61.54,21.78,0.41,0.0
20220124:1730,401.05,240.88,12.44,63.6,21.54,0.69,0.0
20220124:1830,399.81,216.51,11.33,58.05,21.48,0.76,0.0
20220124:1930,420.04,190.21,10.02,47.8,21.11,0.97,0.0
20220124:2030,464.89,134.72,8.07,35.44,20.82,0.76,0.0
20220124:2130,175.23,99.08,3.38,22.13,20.54,0.83,0.0
20220124:2230,0.0,18.54,0.45,8.35,19.85,0.69,0.0
20220124:2330,0.0,0.0,0.0,-5.68,19.19,0.62,0.0
20220125:0030,0.0,0.0,0.0,0.0,18.54,0.55,0.0
20220125:0130,0.0,0.0,0.0,0.0,18.17,0.48,0.0
20220125:0230,0.0,0.0,0.0,0.0,17.99,0.34,0.0
20220125:0330,0.0,0.0,0.0,0.0,17.79,0.41,0.0
20220125:0430,0.0,0.0,0.0,0.0,17.76,0.48,0.0
20220125:0530,0.0,0.0,0.0,0.0,17.34,0.48,0.0
20220125:0630,0.0,0.0,0.0,0.0,16.87,0.62,0.0
20220125:0730,0.0,0.0,0.0,0.0,16.78,0.62,0.0
20220125:0830,0.0,0.0,0.0,0.0,16.85,0.48,0.0
20220125:0930,0.0,0.0,0.0,0.0,16.56,0.34,0.0
20220125:1030,0.0,0.0,0.0,0.0,16.12,0.48,0.0
20220125:1130,0.0,8.43,0.21,1.08,15.97,0.69,0.0
20220125:1230,333.38,95.54,3.47,15.03,16.0,0.76,0.0
20220125:1330,533.15,136.12,7.77,28.66,18.24,0.97,0.0
20220125:1430,657.14,209.14,12.59,41.63,20.08,0.9,0.0
20220125:1530,590.21,193.2,13.28,53.24,21.33,0.69,0.0
20220125:1630,525.51,225.05,14.05,61.73,21.38,0.48,0.0
20220125:1730,503.29,230.79,14.07,63.85,22.23,0.55,0.0
20220125:1830,294.71,167.33,8.63,58.28,22.41,0.69,0.0
20220125:1930,179.07,202.87,7.0,47.99,20.41,1.03,0.0
20220125:2030,67.17,170.95,4.55,35.6,19.69,0.76,0.0
20220125:2130,23.56,72.3,1.81,22.26,19.1,0.76,0.0
20220125:2230,0.0,27.43,0.67,8.45,18.99,0.28,0.0
20220125:2330,0.0,0.0,0.0,-5.59,18.21,0.07,0.0
20220126:0030,0.0,0.0,0.0,0.0,18.03,0.41,0.0
20220126:0130,0.0,0.0,0.0,0.0,18.0,0.48,0.0
20220126:0230,0.0,0.0,0.0,0.0,17.83,0.55,0.0
20220126:0330,0.0,0.0,0.0,0.0,17.68,0.55,0.0
20220126:0430,0.0,0.0,0.0,0.0,17.54,0.62,0.0
20220126:0530,0.0,0.0,0.0,0.0,17.27,0.48,0.0
20220126:0630,0.0,0.0,0.0,0.0,17.17,0.48,0.0
20220126:0730,0.0,0.0,0.0,0.0,16.51,0.48,0.0
20220126:0830,0.0,0.0,0.0,0.0,16.21,0.55,0.0
20220126:0930,0.0,0.0,0.0,0.0,16.01,0.62,0.0
20220126:1030,0.0,0.0,0.0,0.0,16.07,0.55,0.0
20220126:1130,0.0,10.61,0.26,1.06,15.64,0.69,0.0
20220126:1230,140.12,103.01,2.72,15.03,15.51,0.76,0.0
20220126:1330,325.3,204.73,7.02,28.69,17.0,0.62,0.0
20220126:1430,731.82,193.15,13.28,41.7,18.77,0.69,0.0
20220126:1530,688.73,226.76,15.44,53.37,20.83,0.69,0.0
20220126:1630,640.53,273.61,17.03,61.94,22.22,0.69,0.0
20220126:1730,662.3,212.16,16.59,64.1,23.09,0.76,0.0
20220126:1830,579.6,201.95,14.06,58.52,23.71,0.9,0.0
20220126:1930,424.01,190.05,10.11,48.18,23.51,0.97,0.0
20220126:2030,502.48,164.33,9.03,35.75,22.74,0.97,0.0
20220126:2130,267.25,120.42,4.42,22.38,21.84,0.76,0.0
20220126:2230,0.0,31.2,0.76,8.55,20.48,0.69,0.0
20220126:2330,0.0,0.0,0.0,-5.51,19.48,0.55,0.0
20220127:0030,0.0,0.0,0.0,0.0,18.71,0.48,0.0
20220127:0130,0.0,0.0,0.0,0.0,18.36,0.34,0.0
20220127:0230,0.0,0.0,0.0,0.0,18.0,0.41,0.0
20220127:0330,0.0,0.0,0.0,0.0,17.85,0.34,0.0
20220127:0430,0.0,0.0,0.0,0.0,17.52,0.28,0.0
20220127:0530,0.0,0.0,0.0,0.0,17.27,0.34,0.0
20220127:0630,0.0,0.0,0.0,0.0,16.82,0.28,0.0
20220127:0730,0.0,0.0,0.0,0.0,16.59,0.34,0.0
20220127:0830,0.0,0.0,0.0,0.0,16.6,0.34,0.0
20220127:0930,0.0,0.0,0.0,0.0,16.37,0.48,0.0
20220127:1030,0.0,0.0,0.0,0.0,16.26,0.41,0.0
20220127:1130,0.0,6.88,0.17,1.04,16.03,0.55,0.0
20220127:1230,206.02,78.74,2.6,15.04,16.06,0.62,0.0
20220127:1330,462.73,139.22,7.16,28.72,17.27,0.69,0.0
20220127:1430,560.27,147.71,10.34,41.77,19.17,0.76,0.0
20220127:1530,648.3,196.18,14.28,53.5,20.37,0.83,0.0
20220127:1630,756.55,150.83,16.75,62.15,21.58,0.83,0.0
20220127:1730,582.57,158.82,14.13,64.36,22.31,0.97,0.0
20220127:1830,539.28,236.07,14.09,58.75,22.29,1.03,0.0
20220127:1930,311.26,135.01,7.47,48.37,21.99,1.1,0.0
20220127:2030,345.68,144.8,6.97,35.9,20.54,0.97,0.0
20220127:2130,314.88,99.82,4.44,22.5,20.31,1.03,0.0
20220127:2230,0.0,30.07,0.73,8.65,20.19,0.76,0.0
20220127:2330,0.0,0.0,0.0,-5.44,18.82,0.55,0.0
20220128:0030,0.0,0.0,0.0,0.0,18.05,0.55,0.0
20220128:0130,0.0,0.0,0.0,0.0,17.71,0.48,0.0
20220128:0230,0.0,0.0,0.0,0.0,17.38,0.55,0.0
20220128:0330,0.0,0.0,0.0,0.0,16.94,0.62,0.0
20220128:0430,0.0,0.0,0.0,0.0,16.43,0.69,0.0
20220128:0530,0.0,0.0,0.0,0.0,16.1,0.76,0.0
20220128:0630,0.0,0.0,0.0,0.0,15.81,0.69,0.0
20220128:0730,0.0,0.0,0.0,0.0,15.64,0.62,0.0
20220128:0830,0.0,0.0,0.0,0.0,15.09,0.62,0.0
20220128:0930,0.0,0.0,0.0,0.0,14.65,0.55,0.0
20220128:1030,0.0,0.0,0.0,0.0,14.1,0.55,0.0
20220128:1130,0.0,9.98,0.24,1.02,13.2,0.55,0.0
20220128:1230,228.66,130.99,3.49,15.05,13.21,0.62,0.0
20220128:1330,340.51,193.78,6.97,28.76,15.27,0.62,0.0
20220128:1430,556.77,246.98,12.02,41.85,17.47,0.62,0.0
20220128:1530,764.73,177.1,15.78,53.64,19.93,0.69,0.0
20220128:1630,683.82,248.78,17.38,62.36,21.44,0.76,0.0
20220128:1730,672.1,172.61,16.09,64.63,22.45,0.9,0.0
20220128:1830,806.96,148.12,16.98,58.99,22.75,0.9,0.0
20220128:1930,817.64,142.71,15.0,48.56,23.62,1.03,0.0
20220128:2030,704.22,123.57,10.75,36.05,23.54,1.24,0.0
20220128:2130,304.22,100.84,4.39,22.62,22.85,1.17,0.0
20220128:2230,0.0,27.97,0.68,8.75,21.54,0.83,0.0
20220128:2330,0.0,0.0,0.0,-5.36,20.25,0.62,0.0
20220129:0030,0.0,0.0,0.0,0.0,19.35,0.41,0.0
20220129:0130,0.0,0.0,0.0,0.0,18.58,0.34,0.0
20220129:0230,0.0,0.0,0.0,0.0,17.7,0.28,0.0
20220129:0330,0.0,0.0,0.0,0.0,17.51,0.21,0.0
20220129:0430,0.0,0.0,0.0,0.0,17.14,0.34,0.0
20220129:0530,0.0,0.0,0.0,0.0,16.82,0.48,0.0
20220129:0630,0.0,0.0,0.0,0.0,16.49,0.48,0.0
20220129:0730,0.0,0.0,0.0,0.0,15.93,0.76,0.0
20220129:0830,0.0,0.0,0.0,0.0,15.42,0.76,0.0
20220129:0930,0.0,0.0,0.0,0.0,14.98,0.76,0.0
20220129:1030,0.0,0.0,0.0,0.0,14.67,0.76,0.0
20220129:1130,0.0,10.44,0.26,1.01,14.3,0.69,0.0
20220129:1230,471.38,115.35,4.43,15.06,14.03,0.55,0.0
20220129:1330,732.75,129.82,9.64,28.8,16.1,0.48,0.0
20220129:1430,888.62,144.65,14.61,41.93,18.8,0.34,0.0
20220129:1530,952.65,145.57,18.25,53.78,20.61,0.21,0.0
20220129:1630,940.92,138.72,19.95,62.58,21.93,0.14,0.0
20220129:1730,919.88,151.23,20.33,64.9,22.8,0.41,0.0
20220129:1830,811.03,191.61,17.9,59.23,23.52,0.69,0.0
20220129:1930,816.38,169.23,15.47,48.75,23.77,1.03,0.0
20220129:2030,739.51,155.89,11.68,36.2,23.48,1.17,0.0
20220129:2130,384.0,106.27,5.1,22.74,22.62,1.24,0.0
20220129:2230,0.0,30.36,0.74,8.84,21.09,1.1,0.0
20220129:2330,0.0,0.0,0.0,-5.29,19.89,0.69,0.0
20220130:0030,0.0,0.0,0.0,0.0,18.54,0.62,0.0
20220130:0130,0.0,0.0,0.0,0.0,18.14,0.62,0.0
20220130:0230,0.0,0.0,0.0,0.0,17.51,0.76,0.0
20220130:0330,0.0,0.0,0.0,0.0,17.04,0.76,0.0
20220130:0430,0.0,0.0,0.0,0.0,16.35,0.83,0.0
20220130:0530,0.0,0.0,0.0,0.0,15.9,0.83,0.0
20220130:0630,0.0,0.0,0.0,0.0,15.4,0.76,0.0
20220130:0730,0.0,0.0,0.0,0.0,14.63,0.76,0.0
20220130:0830,0.0,0.0,0.0,0.0,14.16,0.76,0.0
20220130:0930,0.0,0.0,0.0,0.0,13.61,0.69,0.0
20220130:1030,0.0,0.0,0.0,0.0,13.31,0.69,0.0
20220130:1130,0.0,11.53,0.28,1.0,12.77,0.69,0.0
20220130:1230,326.6,138.84,4.01,15.07,12.39,0.62,0.0
20220130:1330,595.53,170.98,8.9,28.84,15.04,0.62,0.0
20220130:1430,819.94,136.23,13.59,42.02,18.11,0.62,0.0
20220130:1530,865.87,145.06,16.88,53.92,19.75,0.55,0.0
20220130:1630,788.57,210.61,18.59,62.8,21.03,0.41,0.0
20220130:1730,707.42,213.9,17.64,65.17,22.3,0.41,0.0
20220130:1830,685.77,257.97,17.06,59.47,22.88,0.69,0.0
20220130:1930,603.7,248.97,13.83,48.94,23.33,1.03,0.0
20220130:2030,474.19,207.68,9.54,36.35,23.28,1.1,0.0
20220130:2130,362.25,157.67,5.74,22.86,22.21,1.1,0.0
20220130:2230,0.0,29.61,0.72,8.94,20.97,0.97,0.0
20220130:2330,0.0,0.0,0.0,-5.21,19.66,0.62,0.0
20220131:0030,0.0,0.0,0.0,0.0,18.07,0.76,0.0
20220131:0130,0.0,0.0,0.0,0.0,17.28,0.83,0.0
20220131:0230,0.0,0.0,0.0,0.0,16.61,0.83,0.0
20220131:0330,0.0,0.0,0.0,0.0,16.13,0.9,0.0
20220131:0430,0.0,0.0,0.0,0.0,15.74,0.83,0.0
20220131:0530,0.0,0.0,0.0,0.0,15.55,0.69,0.0
20220131:0630,0.0,0.0,0.0,0.0,15.35,0.69,0.0
20220131:0730,0.0,0.0,0.0,0.0,14.54,0.62,0.0
20220131:0830,0.0,0.0,0.0,0.0,13.58,0.69,0.0
20220131:0930,0.0,0.0,0.0,0.0,13.14,0.62,0.0
20220131:1030,0.0,0.0,0.0,0.0,12.53,0.62,0.0
20220131:1130,0.0,9.6,0.23,1.0,11.89,0.62,0.0
20220131:1230,513.94,118.69,4.71,15.09,12.32,0.55,0.0
20220131:1330,790.98,130.56,10.26,28.89,15.82,0.55,0.0
20220131:1430,901.98,131.49,14.63,42.11,18.89,0.62,0.0
20220131:1530,936.8,133.99,17.86,54.07,20.59,0.48,0.0
20220131:1630,922.91,135.13,19.66,63.03,21.8,0.41,0.0
20220131:1730,876.22,153.98,19.69,65.46,22.7,0.55,0.0
20220131:1830,888.9,157.53,18.73,59.72,23.36,0.62,0.0
20220131:1930,713.3,148.12,13.65,49.13,23.7,0.83,0.0
20220131:2030,739.82,153.88,11.71,36.5,23.42,1.1,0.0
20220131:2130,514.6,146.08,6.71,22.98,22.78,1.24,0.0
20220131:2230,0.0,34.01,0.83,9.03,21.71,1.1,0.0
20220131:2330,0.0,0.0,0.0,-5.15,20.48,0.83,0.0
20220201:0030,0.0,0.0,0.0,0.0,19.26,0.55,0.0
20220201:0130,0.0,0.0,0.0,0.0,18.46,0.48,0.0
20220201:0230,0.0,0.0,0.0,0.0,17.31,0.55,0.0
20220201:0330,0.0,0.0,0.0,0.0,16.54,0.55,0.0
20220201:0430,0.0,0.0,0.0,0.0,15.92,0.55,0.0
20220201:0530,0.0,0.0,0.0,0.0,15.52,0.55,0.0
20220201:0630,0.0,0.0,0.0,0.0,14.84,0.55,0.0
20220201:0730,0.0,0.0,0.0,0.0,14.67,0.55,0.0
20220201:0830,0.0,0.0,0.0,0.0,14.62,0.55,0.0
20220201:0930,0.0,0.0,0.0,0.0,14.28,0.55,0.0
20220201:1030,0.0,0.0,0.0,0.0,13.95,0.62,0.0
20220201:1130,0.0,11.2,0.27,1.0,13.26,0.69,0.0
20220201:1230,320.75,109.6,3.6,15.11,13.18,0.62,0.0
20220201:1330,542.94,154.5,8.18,28.94,15.93,0.69,0.0
20220201:1430,452.66,166.15,9.34,42.2,18.61,0.76,0.0
20220201:1530,658.24,211.15,14.83,54.22,19.72,0.62,0.0
20220201:1630,728.69,222.32,17.83,63.27,21.26,0.41,0.0
20220201:1730,709.29,208.6,17.68,65.74,22.32,0.55,0.0
20220201:1830,405.61,324.62,13.81,59.96,22.93,0.69,0.0
20220201:1930,707.01,153.08,13.68,49.32,22.84,0.76,0.0
20220201:2030,324.91,138.61,6.7,36.64,23.19,0.83,0.0
20220201:2130,246.13,89.05,3.8,23.09,22.26,0.69,0.0
20220201:2230,0.0,30.49,0.74,9.12,21.16,0.62,0.0
20220201:2330,0.0,0.0,0.0,-5.08,19.92,0.62,0.0
20220202:0030,0.0,0.0,0.0,0.0,19.01,0.48,0.0
20220202:0130,0.0,0.0,0.0,0.0,18.06,0.62,0.0
20220202:0230,0.0,0.0,0.0,0.0,17.33,0.69,0.0
20220202:0330,0.0,0.0,0.0,0.0,16.68,0.69,0.0
20220202:0430,0.0,0.0,0.0,0.0,16.12,0.69,0.0
20220202:0530,0.0,0.0,0.0,0.0,15.8,0.62,0.0
20220202:0630,0.0,0.0,0.0,0.0,15.25,0.62,0.0
20220202:0730,0.0,0.0,0.0,0.0,15.17,0.55,0.0
20220202:0830,0.0,0.0,0.0,0.0,14.81,0.55,0.0
20220202:0930,0.0,0.0,0.0,0.0,14.66,0.62,0.0
20220202:1030,0.0,0.0,0.0,0.0,14.64,0.55,0.0
20220202:1130,0.0,11.15,0.27,1.0,14.42,0.55,0.0
20220202:1230,476.4,121.7,4.55,15.14,14.13,0.55,0.0
20220202:1330,660.49,134.82,9.04,29.0,16.64,0.55,0.0
20220202:1430,799.2,154.43,13.66,42.29,19.15,0.69,0.0
20220202:1530,691.83,146.14,14.19,54.38,21.04,0.76,0.0
20220202:1630,772.3,182.05,17.89,63.51,22.19,0.62,0.0
20220202:1730,741.35,183.3,17.84,66.03,23.43,0.41,0.0
20220202:1830,720.9,216.72,17.01,60.21,24.19,0.14,0.0
20220202:1930,684.67,188.41,14.01,49.5,24.59,0.55,0.0
20220202:2030,489.24,195.18,9.56,36.79,24.23,0.9,0.0
20220202:2130,417.42,136.06,5.87,23.2,23.29,1.17,0.0
20220202:2230,0.0,29.06,0.71,9.2,21.91,1.03,0.0
